Lv-13-1|Leis referentes à lepra
Lv-14-1|A purificação da lepra
Lv-15-1|Impurezas do homem
Lv-15-19|Impurezas da mulher
Lv-16-1|O dia de expiação
Lv-17-1|Proibição de comer sangue
Lv-18-1|Regras sobre relações sexuais
Lv-19-1|Repetição de diversas leis
Lv-20-1|Penas para diversos crimes
Lv-21-1|Leis para os sacerdotes
Lv-22-17|Os animais para o sacrifício
Lv-23-1|Festas solenes
Lv-23-5|A Páscoa e a festa dos pães sem fermento
Lv-23-9|A festa dos primeiros frutos
Lv-23-15|A festa de pentecostes
Lv-23-23|A festa das trombetas
Lv-23-26|O dia da expiação
Lv-23-33|A festa dos tabernáculos
Lv-24-1|As lâmpadas de azeite e o pão consagrado
Lv-24-10|O castigo por blasfémia
Lv-25-1|O ano sabático
Lv-25-8|O ano de jubileu
Lv-26-1|A bênção pela obediência
Lv-26-14|O castigo por desobediência
Lv-27-1|Normas para coisas consagradas
Nm-1-1|Recenseamento dos israelitas
Nm-2-1|Disposição das tribos quando acampadas
Nm-3-1|A tribo de Levi
Nm-4-1|Os coatitas
Nm-4-21|Os gersonitas
Nm-4-29|Os meraritas
Nm-4-34|As divisões de levitas são contadas
Nm-5-1|A pureza do acampamento
Nm-5-11|O teste da culpa de uma mulher infiel
Nm-6-1|Os nazireus
Nm-6-22|A bênção sacerdotal
Nm-7-1|As ofertas de consagração do tabernáculo
Nm-8-1|A montagem das lâmpadas
Nm-8-5|A consagração dos levitas
Nm-9-1|Celebração da Páscoa
Nm-9-15|A nuvem por cima do tabernáculo
Nm-10-1|As duas trombetas de prata
Nm-10-11|Os israelitas deixam o Sinai
Nm-11-1|Fogo do Senhor
Nm-11-4|Deus envia codornizes
Nm-12-1|Miriam e Arão opõem-se a Moisés
Nm-13-1|Envio de exploradores a Canaã
Nm-13-25|O relatório da expedição
Nm-14-1|Os israelitas querem voltar para o Egipto
Nm-15-1|Ofertas suplementares
Nm-15-22|Sacrifícios por culpa involuntária
Nm-15-32|Desrespeito à lei do sábado leva à morte
Nm-15-37|As borlas nas roupas
Nm-16-1|A revolta de Coré
Nm-17-1|A vara de Arão floresce
Nm-18-1|Deveres dos sacerdotes e levitas
Nm-18-8|As ofertas para os sacerdotes e levitas
Nm-19-1|Preceitos de purificação cerimonial
Nm-20-1|Moisés faz sair água do rochedo
Nm-20-14|O rei de Edom nega passagem aos israelitas
Nm-20-23|A morte de Arão
Nm-21-1|Vitória sobre os cananeus
Nm-21-4|A serpente de bronze
Nm-21-10|A jornada para Moabe
Nm-21-21|A derrota dos reis Siom e Ogue
Nm-22-1|Balaque chama Balaão
Nm-22-21|A jumenta de Balaão
Nm-23-1|A primeira profecia de Balaão
Nm-23-13|A segunda profecia de Balaão
Nm-23-27|A terceira profecia de Balaão
Nm-24-15|A quarta profecia de Balaão
Nm-24-20|A profecia final de Balaão
Nm-25-1|Moabe seduz Israel
Nm-26-1|O segundo recenseamento
Nm-27-1|As filhas de Zelofeade
Nm-27-12|Josué sucessor de Moisés
Nm-28-1|Ofertas diárias
Nm-28-9|Ofertas no sábado
Nm-28-11|Ofertas mensais
Nm-28-16|A Páscoa
Nm-28-26|A festa dos primeiros frutos
Nm-29-1|A festa das trombetas
Nm-29-7|O dia da expiação
Nm-29-12|A festa de tabernáculos
Nm-30-1|As promessas ao Senhor
Nm-31-1|A vingança contra os midianitas
Nm-31-25|Repartição dos despojos
Nm-32-1|Rúben e Gad ficam aquém do Jordão
Nm-32-33|Meia-tribo de Manassés fica a oriente do Jordão
Nm-33-1|O percurso do povo no deserto
Nm-34-1|Os limites de Canaã
Nm-35-1|As cidades para os levitas
Nm-35-6|As cidades de refúgio
Nm-36-1|A herança das filhas de Zelofeade
Dt-1-1|Ordem para deixar Horebe
Dt-1-9|Moisés nomeia auxiliares
Dt-1-26|Rebelião contra o Senhor
Dt-2-1|Jornadas no deserto
Dt-2-26|A derrota do rei Siom de Hesbom
Dt-3-1|A derrota do rei Ogue de Basã
Dt-3-12|A divisão da terra
Dt-3-21|Deus proíbe Moisés de atravessar o Jordão
Dt-4-1|Exortação à obediência
Dt-4-15|A idolatria é proibida
Dt-4-32|O Senhor é Deus
Dt-4-41|Cidades de refúgio
Dt-4-44|Introdução à lei
Dt-5-1|Os dez mandamentos de Deus
Dt-6-1|Amor e fidelidade a Deus
Dt-7-1|A destruição das nações
Dt-8-1|Memória das bênçãos do Senhor
Dt-9-1|A razão da vitória
Dt-9-7|O bezerro de ouro
Dt-10-1|Novas tábuas da lei
Dt-10-12|Temer e obedecer ao Senhor
Dt-11-1|Os grandes feitos de Deus
Dt-12-1|Um único lugar de culto
Dt-13-1|Contra os falsos deuses
Dt-14-1|Comida pura e impura
Dt-14-22|O dízimo
Dt-15-1|O ano de cancelar as dívidas
Dt-15-12|A libertação dos escravos
Dt-15-19|O primogénito dos animais
Dt-16-1|A Páscoa
Dt-16-9|A festa das semanas
Dt-16-13|A festa dos tabernáculos
Dt-16-18|Os juízes
Dt-16-21|Não à idolatria
Dt-17-8|Os tribunais
Dt-17-14|O rei
Dt-18-1|As ofertas para os sacerdotes e os levitas
Dt-18-9|As práticas detestáveis
Dt-18-15|O profeta
Dt-19-1|Cidades de refúgio
Dt-19-15|As testemunhas
Dt-20-1|Leis de guerra
Dt-21-1|Absolvição por assassínio incógnito
Dt-21-10|Casamento com uma mulher cativa
Dt-21-15|Direitos dos primogénitos
Dt-21-18|Um filho rebelde
Dt-21-22|Normas diversas
Dt-22-13|Violação e adultério
Dt-23-1|Exclusão da assembleia
Dt-23-9|Impureza no acampamento
Dt-23-15|Diversas leis
Dt-24-1|Normas sobre vários domínios
Dt-26-1|Os primeiros frutos e os dízimos
Dt-26-16|Obediência aos mandamentos do Senhor
Dt-27-1|O altar no monte Ebal
Dt-27-9|Maldição do monte Ebal
Dt-28-1|Bênção para a obediência
Dt-28-15|Consequências da desobediência
Dt-29-1|A renovação da aliança
Dt-30-1|Bênçãos após o arrependimento
Dt-30-11|A escolha da vida ou da morte
Dt-31-1|Josué sucessor de Moisés
Dt-31-9|A leitura da lei
Dt-31-14|A sucessão de Moisés
Dt-31-30|O cântico de Moisés
Dt-32-48|Moisés sobe ao monte Nebo
